DateTime,AddedIPs,RemovedIPs
1551249139,500,295
1551263082,261,388
1551354778,500,748
1551382336,313,277
1551383292,19,0
1551387154,37,0
1551402016,332,104
1551407332,147,51
1551411168,83,83
1551480280,500,815
1551481217,17,0
1551488185,137,464
1551493237,117,0
1551497565,86,0
1551501165,68,0
1551504988,49,0
1551513620,141,0
1551518095,58,0
1551527785,166,0
1551531387,41,0
1551567370,377,535
1551568366,17,0
1551570730,33,0
1551575087,98,0
1551576501,27,0
1551578931,45,0
1551585386,82,64
1551588247,34,0
1551592335,58,63
1551661941,500,725
1551730344,500,720
1551810030,500,932
1551868832,500,613
1551896169,317,298
1551988815,500,1050
1552078953,500,1269
1552128492,500,0
1552187533,500,843
1552279472,500,855
1552284534,71,0
1552318360,493,500
1552344966,323,0
1552425371,500,800
1552427073,21,0
1552434513,78,0
1552440019,75,0
1552480808,500,0
1552497637,291,174
1552500523,47,0
1552504844,64,59
1552510605,104,45
1552530256,370,530
1552532920,51,0
1552536734,64,0
1552540353,52,0
1552545634,151,0
1552548509,40,0
1552552106,104,0
1552555473,67,0
1552559794,59,0
1552563163,44,0
1552567230,48,51
1552588569,281,686
1552589552,12,0
1552592437,33,0
1552599158,103,0
1552602651,45,0
1552606362,70,0
1552628168,463,0
1552638759,200,0
1552641643,70,0
1552645246,87,0
1552648130,47,0
1552651477,35,134
1552655322,74,0
1552659377,53,53
1552663484,55,500
1552666817,46,0
1552684126,257,0
1552690503,98,0
1552696831,111,0
1552700436,58,0
1552711453,161,0
1552733300,339,0
1552734254,10,0
1552737637,46,0
1552742203,71,0
1552745797,62,0
1552748936,44,0
1552751813,37,0
1552756123,68,500
1552760441,63,0
1552801696,500,0
1552805069,63,0
1552822090,310,0
1552826427,70,0
1552830995,71,0
1552835309,56,0
1552842512,113,0
1552845388,44,0
1552867231,288,500
1552873227,92,0
1552876830,53,0
1552894578,323,0
1552901561,106,0
1552909691,115,0
1552944495,488,190
1552978088,500,976
1552979083,28,0
1552981450,51,0
1552984350,113,0
1552987228,108,0
1552997782,287,0
1553006896,144,0
1553010268,69,66
1553014109,64,500
1553041696,438,0
1553048908,138,0
1553082251,500,458
1553083730,23,0
1553089230,85,0
1553094990,76,0
1553103392,123,115
1553194363,500,1232
1553200106,122,0
1553213335,234,252
1553217171,90,78
1553220044,49,142
1553222669,54,0
1553225559,53,61
1553236110,184,647
1553239205,61,0
1553247375,325,0
1553257938,179,0
1553261053,43,0
1553264413,36,0
1553271891,97,0
1553275226,53,0
1553288435,237,500
1553310506,341,0
1553316768,128,0
1553358620,500,987
1553367367,136,0
1553370271,36,0
1553374594,87,0
1553377210,38,0
1553381078,76,0
1553383959,51,0
1553388985,126,0
1553410833,364,0
1553413712,43,0
1553415638,29,0
1553418522,47,0
1553421149,39,0
1553424030,53,437
1553425974,29,0
1553427872,24,0
1553429530,27,0
1553431954,27,0
1553437716,152,0
1553440602,32,0
1553445738,80,0
1553449954,49,348
1553458122,106,0
1553462198,48,0
1553464861,29,0
1553507550,500,500
1553549302,486,0
1553554834,57,0
1553581711,366,500
1553586038,49,0
1553590843,176,0
1553595161,151,0
1553605728,229,0
1553610525,55,0
1553615317,75,0
1553619400,61,0
1553622999,38,0
1553627534,68,500
1553629961,96,0
1553632360,42,0
1553635236,40,0
1553684912,500,0
1553692607,166,0
1553698336,121,0
1553705077,135,0
1553707956,51,0
1553711567,68,0
1553715162,62,0
1553719487,66,500
1553721633,27,0
1553723296,33,0
1553726933,41,0
1553727852,14,0
1553731286,79,0
1553813118,500,56
1553835611,319,500
1553852891,199,261
1553854571,17,0
1553861318,92,500
1553878346,206,0
1553946986,500,313
1553951530,71,0
1553956100,52,0
1553958536,36,0
1553961395,34,0
1553964992,38,0
1553968592,45,0
1553986334,211,388
1553988745,21,0
1553991168,42,0
1553994257,36,147
1553996921,38,0
1553999552,28,83
1554002437,33,0
1554004589,23,500
1554007722,40,0
1554014668,57,0
1554017554,27,0
1554025472,70,0
1554032677,59,0
1554036266,24,0
1554039158,12,0
1554042498,22,0
1554045624,17,0
1554048037,11,0
1554052109,28,0
1554058840,49,0
1554062520,29,0
1554064361,24,0
1554068433,37,0
1554072045,26,0
1554078506,60,154
1554082117,35,117
1554085694,47,86
1554089219,41,0
1554092432,42,68
1554095316,23,49
1554098201,36,141
1554101080,29,0
1554103968,35,0
1554107561,53,58
1554110434,37,166
1554113277,32,0
1554115951,36,0
1554118833,30,0
1554121938,23,41
1554125562,55,377
1554128427,30,0
1554145229,188,0
1554163987,295,148
1554168281,92,27
1554195613,385,719
1554254899,500,500
1554259235,48,0
1554263076,39,0
1554270770,81,0
1554281561,292,0
1554295225,139,0
1554300043,25,0
1554301685,9,0
1554305544,30,0
1554318381,88,0
1554387150,500,500
1554408030,169,500
1554411386,28,0
1554414747,38,0
1554418618,42,0
1554421226,34,0
1554426532,95,0
1554429635,52,0
1554433720,46,0
1554436848,37,0
1554441378,54,0
1554446675,66,0
1554449569,28,0
1554451479,13,0
1554454117,25,0
1554456275,29,0
1554459884,28,0
1554463228,500,317
1554465386,500,0
1554468029,500,0
1554471396,500,0
1554474280,500,0
1554477880,500,0
1554482193,500,0
1554485552,500,0
1554488435,500,500
1554493934,500,0
1554496817,500,0
1554499959,500,0
1554505023,500,0
1554508881,500,0
1554510756,500,0
1554528023,500,0
1554529951,500,0
1554532111,500,0
1554536429,500,0
1554540259,500,0
1554542413,500,0
1554545793,500,0
1554624968,500,500
1554652344,500,0
1554694108,500,500
1554695054,202,0
1554699399,500,0
1554709962,500,0
1554718594,500,0
1554721244,500,500
1554724120,500,0
1554726517,500,0
1554729381,500,0
1554732758,500,0
1554735871,500,0
1554739711,500,0
1554744029,500,0
1554754825,500,0
1554756991,500,0
1554769239,500,0
1554786523,500,500
1554791556,500,0
1554795874,500,0
1554798755,500,0
1554801632,500,0
1554803783,500,0
